Organization,Subject,Status,Check Date,Mapped Version,Hash,URL
Alabama,General,✔️ No changes,2026-04-08,2023,91feb7e08c60c76dd402fadcbc6dec8b9a76a103db7baafef55bfe64f9be8340,https://www.alabamaachieves.org/academic-standards/
Alaska,General,✔️ No changes,2026-04-08,2023,c2a31cfd40fe521087c4a1fc2f54063dc7bab945c5e121d13ccf5adab0a3f8b2,https://education.alaska.gov/akstandards
Arizona,General,✔️ No changes,2026-04-08,2024,2e8c4c46b5c98be7287132111ca0463796ae684b0f6b368ea6b3beafb57c6e04,https://www.azed.gov/standards-practices
Arkansas,General,✔️ No changes,2026-04-08,2023,0e426ab8ef6f39ecc997e881e33fff6c3eadfedfa77c01f152458cbc29e01d89,https://dese.ade.arkansas.gov/Offices/learning-services/curriculum-support/arkansas-academic-standards
California,General,🚨 CHANGE DETECTED!,2026-04-08,2022,5a697be682dc8aa0218dfc305728f6e9bf3173abe7174b7c6a530af7e7ed7792,https://www.cde.ca.gov/be/st/ss/
Colorado,General,✔️ No changes,2026-04-08,2023,4dcac9a0b49aa04659145ad23d2fe81be59192acc3ed74b10b0d46835447f066,https://www.cde.state.co.us/standards
Connecticut,General,🚨 CHANGE DETECTED!,2026-04-08,2023,379542f8fbfa24f2170a3fc95e1859d8ee592d46db301298872d40278e507de4,https://portal.ct.gov/SDE/Academic-Standards/CT-Core-Standards
Delaware,General,✔️ No changes,2026-04-08,2023,39cd52729ec34a44208664292994a22cc8683d7758fb35df3b1f4f2a4f7f240c,https://www.doe.k12.de.us/Page/339
Florida,General,✔️ No changes,2026-04-08,2024,cea64cd5346b6f025a9887cf0d9b1c80a048627b3afa5f98a8fe851990d15efe,https://www.fldoe.org/academics/standards/
Georgia,General,✔️ No changes,2026-04-08,2023,4063e04e57bcad6000fda11247b6c2200bf3b62d96521ffcd73cc18739f49677,https://www.georgiastandards.org/Georgia-Standards
Hawaii,General,✔️ No changes,2026-04-08,2023,8f522c0c9d51e261e22c5f403fff5e4c00c91171bafe898dab43c26b17adb5e8,https://www.hawaiipublicschools.org/TeachingAndLearning/StudentLearning/Pages/home.aspx
Idaho,General,✔️ No changes,2026-04-08,2023,8273c94b6ba59e2ea7e84d61016065c24d9a1c7892407335a4b777b98b935719,https://www.sde.idaho.gov/academic/standards/
Illinois,General,✔️ No changes,2026-04-08,2023,54b38aae740cec07bf0103d593faa52f254be7e38d7197ea6fdb90689b8c82fa,https://www.isbe.net/Pages/Learning-Standards.aspx
Indiana,General,✔️ No changes,2026-04-08,2023,f6d298678c0e5b64bddb4fa8cf9a60398a328d16122e1fed29db029ed9f5754c,https://www.in.gov/doe/students/indiana-academic-standards/
Iowa,General,✔️ No changes,2026-04-08,2023,dbfa26614e15df88b4ef57434e6c78754eca80557398f147f082343eb5190411,https://iowacore.gov/
Kansas,General,❌ Error,2026-04-08,2023,,https://www.ksde.org/Agency/Division-of-Learning-Services/Career-Standards-and-Assessment-Services/Content-Area-A-E/Academic-Standards
Kentucky,General,✔️ No changes,2026-04-08,2023,db40fa29eee768eb7d1933e7f82d6be17187c617b26f6d1690f123b8ed592e0e,https://kystandards.org/
Louisiana,General,✔️ No changes,2026-04-08,2023,90812a9952732818a55d6c506712a7a45b6a53b08259a1ceb4c55abed423dbae,https://www.louisianabelieves.com/academics/academic-standards
Maine,General,✔️ No changes,2026-04-08,2023,e7839eddd4bc844034de287cdc7b8340b520cc34a73170c26a764c23474281cc,https://www.maine.gov/doe/learning/content
Maryland,General,✔️ No changes,2026-04-08,2023,d8b371e78c4a25d1655de346c3f1dab07dc2ea7a3a7d4b7e1b131ca103f2dc5d,https://www.marylandpublicschools.org/about/Pages/DCAA/index.aspx
Massachusetts,General,✔️ No changes,2026-04-08,2023,5e3f8e54236633ed4431078c2f366c9940535acdf215b668a6035bab3c26e069,https://www.doe.mass.edu/frameworks/
Michigan,General,✔️ No changes,2026-04-08,2023,4620cf1f151de426a941af57fd157f955b523ff07d266f759c18e14d798ac7bc,https://www.michigan.gov/mde/services/academic-standards
Minnesota,General,✔️ No changes,2026-04-08,2023,66d3960e5df6fb4f05de0e09e20da006e7a4d18163f1d76816d4c2081fec6b90,https://education.mn.gov/MDE/dse/stds/
Mississippi,General,✔️ No changes,2026-04-08,2023,655a30801fe958046fad2c27e9e2d9d55f3cf368250844c8ae4cfcd9234047b1,https://www.mdek12.org/OER/Standards-and-Frameworks
Missouri,General,✔️ No changes,2026-04-08,2023,1bcd98af6318198cf6b58e58ab550265907b2ba3a8dba4ab0554565cddb63c08,https://dese.mo.gov/college-career-readiness/curriculum/missouri-learning-standards
Montana,General,✔️ No changes,2026-04-08,2023,30eb08d47622cb14a7f20de2d3acbf5d0e3e8b3a9fd54a75e7dc37f56207f7dc,https://opi.mt.gov/Educators/Teaching-Learning/K-12-Content-Standards-Revision
Nebraska,General,✔️ No changes,2026-04-08,2023,f2a78730a7a5e189421eef3a1c1bf1ec7fc5e87fca7604c0afdbfa7d5c1797c4,https://www.education.ne.gov/contentareachangeareastandards/
Nevada,General,✔️ No changes,2026-04-08,2023,eff4b11baa890b724f3b80897bb593508016e5458634fe13bba8be8b0f01a478,https://doe.nv.gov/Academic_Standards/
New Hampshire,General,✔️ No changes,2026-04-08,2023,aa08409b09bbdd666b8aa5d8bb6a6c8a15130666cb231c540aae28dfb4573744,https://www.education.nh.gov/who-we-are/division-of-learner-support/bureau-of-instructional-support/academic-standards
